Date,HAPP artefact number,Flake Type,Mass (g),Max Length (mm),Block Length (mm),Perc Lenth (mm),Prox Width (mm),Med Width (mm),Dist Width (mm),Prox Thickness (mm),Med Thickness (mm),Distalness of Max W (mm),Dist Thickness (mm),Distalness of Max Th (mm),Plat Width (mm),Plat Thickness (mm),Int Plat Angle,Ext Plat Angle,Plat surface,Overhang removal,Initiation,Bulb of percussion,Erailure scar,Termination,Raw Material,Dorsal Cortex (%),Platform Cortex (%),Dorsal Scars,Parallel Scars,Dorsal Terminations,Aberrant Terminations,Rotations,Cortex Location,Plat Preparation,Non-plat Cortex (%),Longest Face (mm),FS1 Length (mm),FS1 Prox Wid (mm),FS1 Med Wid (mm),FS1 Dist Wid (mm),FS1 Plat Angle,FS1 Termination,FS2 Length (mm),FS2 Prox Wid (mm),FS2 Med Wid (mm),FS2 Dist Wid (mm),FS2 Plat Angle,FS2 Termination,FS3 Length (mm),FS3 Prox Wid (mm),FS3 Med  Wid (mm),FS3 Dist Wid (mm),FS3 Plat Angle,FS3 Termination,FS4 Length (mm),FS4 Prox Wid (mm),FS4 Med Wid (mm),FS4 Dist Wid (mm),FS4 Plat Angle,FS4 Termination,FS5 Length (mm),FS5 Prox Wid (mm),FS5 Med Wid (mm),FS5 Dist Wid (mm),FS5 Plat Angle,FS5 Termination,Square,HAPP Bag,Artefact Class,S1 invas,S1 angle,S2 invas,S2 angle,S3 invas,S3 angle,S4 invas,S4 angle,S5 invas,S5 angle,S6 invas,S6 angle,S7 invas,S7 angle,S8 invas,S9 invas,S9 angle,S10 invas,S10 angle,S12 invas,S12 angle,S14 invas,S14 angle,S16 invas,S16 angle,S15 invas,S15 angle,S13 invas,S13 angle,S11 invas,S11 angle,S8 angle,S1 depth,S2 depth,S3 depth,S4 depth,S5 depth,S6 depth,S7 depth,S8 depth,S9 depth,S10 depth,S11 depth,S12 depth,S13 depth,S14 depth,S15 depth,S16 depth,Retouch1 L (mm),Retouch2 L (mm),Retouch3 L (mm),Total perimeter (mm),R6 depth of retouch (mm),R3 retouch baseline (mm),Scars,Terminations,Recent Damage?,Non-conchoidal fracture planes,HAPP artefact number,comments...,S1 T1,S1 T2,S2 T1,S2 T2,S4 T1,S4 T2,S6 T1,S6 T2,S8 T1,S8 T2,S7 T1,S7 T2,S5 T1,S5 T2,S3 T1,S3 T2,S9 T1,S9 T2,S10 T1,S10 T2,S12 T1,S12 T2,S14 T1,S14 T2,S16 T1,S16 T2,S15 T1,S15 T2,S13 T1,S13 T2,S11 T1,S11 T2,Core geometry,II,GIUR A,RPI,RCI,Auto_Every_2_of_Excavation Unit,Auto_Every_3_of_Excavation Unit,Auto_Every_2_of_Excavation Un_2,Auto_Every_3_of_Excavation Un_2
11/23/05,AD14,Complete,0.76,9.77,10.88,10.88,8.93,16.39,19.75,3.84,2.74,10.13,1.69,,8.71,3.82,70,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Yell Qtzt,10,100,0,0,0,0,0,4 (cntdrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AD14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/23/05,AD15,Complete,0.51,11.47,11.46,11.46,11.41,15.02,15.67,3.6,2.85,6.96,1.52,,9.42,3.63,70,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Yell Qtzt,10,100,1,0,0,0,0,4 (cntdrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AD15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/23/05,AD16,Complete,0.84,12.46,10.94,10.94,9.34,16.1,21.39,3.49,3.7,9.8,1.64,,9.21,3.55,90,100,Cortical,Present,Herztian,Diffuse,Absent,Feather,Yell Qtzt,10,100,1,0,0,0,0,4 (cntdrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AD16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AAend,,92.18,,,21.76,51.6,58.1,52.65,30.27,35.39,13.16,38.1,,56.01,38.89,,,,,,,,,Quartzite,,100,,1,,5,0,,OHR,60,21.63,8.89,15.02,10.78,3.69,90,Feather,14.15,11.59,20.87,10.44,80,Step,11.49,13.87,15.29,8.53,80,Step,18.49,11.99,14.82,8.17,90,Feather,22.06,11.99,24.58,19.56,90,Feather,,,Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,170,,,8,8,No,Absent,AAend,like a tiny pebble-butted adze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columnar,0,0,0.764,0,,,,
11/24/05,AA1,,19.98,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA2A,,1.89,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA2B,Complete,18.62,32.85,26.19,26.19,25.87,38.04,37.79,16.04,13.75,17.68,4.39,,23.42,12.34,110,50,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,60,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA3A,,10.1,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA3B,,11.98,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA5,Complete,12.33,26.73,26.11,25.8,20.32,33.09,36.51,13.93,11.61,22.59,3.56,,19.06,8.51,110,50,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,80,100,1,0,1,0,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA6,Long L,2.42,22.35,18.49,18.49,12.88,18.12,15.39,5.31,3.02,12,1.56,,13.56,5.44,100,70,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,20,100,2,1,2,0,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,90,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA8,Complete,13.28,28.29,25.24,25.23,26.42,33.85,23.87,11.94,12.13,16.88,5.98,,24.71,12.1,100,70,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,40,100,2,1,2,1,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA9,,44,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA10,Complete,1.63,23.83,23.82,23.82,17.03,17.44,9.11,3.15,1.55,5.65,1.73,,15.02,4.79,110,60,Cortical,Absent,Bending,Absent,Absent,Feather,Quartzite,0,100,1,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,50,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA11,,3.85,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,AA4,Long L,0.54,15.6,15.6,15.6,12.18,14.43,8.14,2.02,1.59,6.86,0.9,,13.96,1.9,90,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,1,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,90,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,AA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,Mend,,176.25,,,23.89,66.23,71.73,71.11,54.87,71.19,14.67,64.6,,66.57,52.38,,,,,,,,,Quartzite,,100,,0,,0,0,,Absent,0,23.89,13.99,28.32,18.36,9.94,80,Feather,,,,,,,,,,,,,,,,,,,,,,,,,,,Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,No,Present,Mend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centrip,0,0,0,0,,,,
11/24/05,M1,,260.25,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,M2,Complete,1.96,15.62,15.1,14.43,26.43,22.03,12.89,5.35,3.07,5.33,1.52,,26.73,5.61,100,50,Cortical,Absent,,Diffuse,Absent,Feather,Quartzite,0,100,0,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,M2,dorsal surface is fault line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,M3,,343.83,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,M4,,5.73,,,19.24,32.27,30.27,17.82,8.21,7.79,6.24,3.57,,33.21,9.33,,,,,,,,,Quartzite,,0,,0,,0,0,,Absent,30,19.17,10.48,20.75,14.07,6.75,60,Feather,,,,,,,,,,,,,,,,,,,,,,,,,,,Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,No,Present,M4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columnar,0,0,0,0,,,,
11/24/05,M5,,14.64,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,M5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,M6,,15.27,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,M7,,96.09,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,Nend,,240.62,,,37.93,60.2,66.54,53.23,48.97,55.75,27.89,50.58,,47.72,51.63,,,,,,,,,Quartzite,,100,,1,,1,1,,OHR,70,37.89,9.65,6.21,11.25,7.97,100,Feather,23.25,11.34,32.23,19.01,90,Feather,19.44,17.67,21.89,10.21,100,Feather,18.64,9.78,21.21,12.37,100,Step,22.89,11.22,23.82,10.82,100,Feather,,,Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,150,,,7,7,No,Absent,Nend,Flaked area is two surfaces intersecting at 90 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columnar,0,0,0.666,0,,,,
11/24/05,N1,Complete,0.52,10.61,10.6,10.59,8.56,19.08,13.28,1.39,2.37,8.85,1.57,,8.25,1.27,60,120,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,100,100,0,0,0,0,0,1 (all),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N2,Complete,6.53,25.31,21.65,21.65,36.14,42.48,30.15,5.38,4.95,11.04,1.66,,32.11,6.12,60,100,Cortical,Absent,Herztian,Pronounced,Present,Feather,Quartzite,100,100,0,0,0,0,0,1 (all),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N3,,154.38,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N4,Complete,1.57,24.67,24.22,24.22,14.72,11.67,5.9,4.79,2.55,6.29,1.96,,15.17,5.12,90,90,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,10,100,1,0,0,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,70,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N4,dorsal surface is fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N5,Complete,6.25,34.8,26.4,26.4,34.22,46.8,33.5,2.72,2.77,15.77,2.02,,24.24,3.23,100,80,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,10,100,1,0,1,0,0,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N6,Complete,6.98,43.13,43.13,43.11,19.53,19.4,14.66,6.05,3.5,23.08,3.8,,20.76,6.99,100,80,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,10,100,2,1,1,1,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N7,Complete,6.14,32.39,21.95,21.47,35.92,44.15,31.28,4.19,3.73,14.99,1.5,,20.61,4.9,90,80,Cortical,Present,Herztian,Pronounced,Absent,Feather,Quartzite,10,100,1,0,0,0,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N8,Complete,3.95,24.42,24.42,24.42,18.41,19.84,16.52,5.58,6.46,12.8,3.51,,14.34,6.64,80,100,>1 scar,Present,Herztian,Diffuse,Absent,Feather,Quartzite,30,0,2,0,2,0,1,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N9,Complete,2.99,22.4,20.6,20.6,24.02,23.45,12.23,4.61,4.37,7.61,2.17,,20.51,4.34,80,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,1,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N10,Long R,2.66,19.57,18.07,18.06,24.48,20.83,13.73,4.6,4.88,6.65,2.86,,25.06,4.09,70,100,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,0,100,2,1,1,1,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N11,,1.03,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N12,Complete,5.68,30.96,30.96,30.96,13.38,24.31,11.04,5.17,4.76,15.62,4.55,,8.66,4.68,80,100,1 scar,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,10,0,3,1,2,2,0,13a (dstL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,70,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N12,"obviously been rotated, but scars aren't clearly visible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N13,Trans Prox,1.5,20.21,11.49,11.45,12.74,23.34,17.43,4.25,4.65,7.59,3.91,,8.64,2.62,80,110,Cortical,Absent,Herztian,Pronounced,Absent,Step,Quartzite,0,100,1,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N14,Complete,10.39,47.43,39.74,39.74,15.98,34.44,32.34,5.62,4.6,27.25,2.06,,13.01,2.72,80,110,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,10,100,5,1,4,0,1,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,70,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N15,Complete,5.6,31.15,22.9,22.89,20.44,26.36,26.46,5.35,6.29,15.76,3.7,,13.36,4.81,90,80,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,10,100,2,1,2,0,0,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,70,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N16,,2.76,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,N17,Complete,1.7,18.76,18.76,18.74,14.42,19.31,12.69,4.1,3.83,7.39,2.17,,11.66,2.68,80,110,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,N17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,Eend,,473.48,,,52.78,92.78,101,71.83,58.68,56.06,25.54,44.93,,81.6,55.17,,,,,,,,,Quartzite,,0,,2,,1,3,,Absent,50,52.59,15,18.59,10.94,7.57,120,Feather,42.26,12.3,33.45,21.84,70,Feather,27.18,18.11,39.67,36.26,90,Step,20.05,24.69,26.89,16.79,90,Feather,19.04,16.25,27.42,16.89,90,Feather,,,Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,No,Present,Eend,two platforms at 90 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columnar,0,0,0,0,,,,
11/24/05,E1,Complete,17.01,39.47,28.07,28.07,38.94,52.56,23.11,9.86,9.67,14.43,3.61,,37.8,8.47,80,90,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,100,100,0,0,0,0,0,1 (all),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,E2A,Long R,4.52,31.93,29.86,29.86,23.21,20.41,15.89,4.16,4.19,6.24,2.27,,20.98,4.37,90,90,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,30,100,2,1,1,1,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,E2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,E2B,Long L,5.48,28.17,28.06,28.06,19.44,21.87,18.72,8.74,6.49,20.8,1.78,,14.94,8.25,80,100,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,80,100,1,0,1,0,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,90,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,E2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,E3,Long L,3.95,30.12,30.19,30.14,18.9,17.02,10.01,6.83,5.1,5.75,3.48,,19.12,5.81,60,120,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,70,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,90,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,E4,Complete,1.14,28.05,28.03,27.28,11.3,12.92,6.59,2.91,3.02,9.25,1.57,,8.66,2.91,100,80,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,0,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/24/05,E5,,2.1,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
